comparison_family,transfer_id,method_a,method_b,n_pairs,mean_a,mean_b,mean_delta_a_minus_b,ci95_low,ci95_high,bootstrap_p,wilcoxon_p,is_prerun_frozen,is_posthoc,paper_safe_claim,paper_forbidden_claim,holm_reject_bootstrap,holm_reject_wilcoxon
W7_method_pairwise,T2_ON,dann_strurw,strurw,5,0.024269451234279142,0.0002667256255397284,0.024002725608739412,0.0009888369551336747,0.05720056974118879,0.011,0.1875,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T2_ON,source_only,strurw,5,0.30275969002754055,0.0002667256255397284,0.3024929644020008,0.2556122438619819,0.3438870785121857,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_PH,dann,dann_strurw,5,0.5375,0.7458333333333333,-0.20833333333333334,-0.3625,-0.0875,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_PH,dann,source_only,5,0.5375,0.6416666666666666,-0.10416666666666666,-0.16249999999999995,-0.04166666666666665,0.001,0.125,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_PH,dann,strurw,5,0.5375,0.6458333333333334,-0.10833333333333336,-0.22916666666666674,-0.004166666666666674,0.0432,0.1875,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T2_PH,dann_strurw,source_only,5,0.7458333333333333,0.6416666666666666,0.1041666666666667,-0.06666666666666664,0.2958333333333334,0.283,0.4375,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T2_PH,dann_strurw,strurw,5,0.7458333333333333,0.6458333333333334,0.09999999999999999,-0.02916666666666664,0.21666666666666665,0.1296,0.1875,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T2_PH,source_only,strurw,5,0.6416666666666666,0.6458333333333334,-0.004166666666666696,-0.1458333333333334,0.12916666666666662,0.971,1.0,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,dann_strurw,5,0.9748271604938271,0.9750617283950618,-0.0002345679012345725,-0.0037037037037037203,0.0030000000000000027,0.864,1.0,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,source_only,5,0.9748271604938271,0.9861234567901235,-0.011296296296296271,-0.04199999999999997,0.01011111111111116,0.5202,0.75,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,strurw,5,0.9748271604938271,0.9904782326185835,-0.01565107212475636,-0.04165107212475634,0.0031052631578947,0.1664,0.5,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann_strurw,source_only,5,0.9750617283950618,0.9861234567901235,-0.011061728395061698,-0.04499999999999997,0.01381481481481488,0.5244,0.75,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann_strurw,strurw,5,0.9750617283950618,0.9904782326185835,-0.015416504223521787,-0.04346913580246912,0.0031052631578947,0.1664,0.5,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T3_DiagnoseFrance,source_only,strurw,5,0.9861234567901235,0.9904782326185835,-0.004354775828460089,-0.02116959064327497,0.005105263157894701,0.6452,0.75,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
